"keyword","file","target"
"Harrell","Frank E. Harrell , Jr. - Regression Modeling Strategies (0, Springer International Publishing, Cham) - libgen.li.epub","statistics\books\local_collection"
"Cochrane handbook","[Cochrane book series] Higgins, Julian P. T - Cochrane handbook for systematic reviews of interventions (2020, Wiley-Blackwell) - libgen.li.pdf","statistics\books\local_collection"
"Stoelting","Bruce F. Cullen, M. Christine Stock, Rafael Ortega, Sam R. Shara - Barash, Cullen, and Stoelting's Clinical Anesthesia (2023, LWW Wolters Kluwer) - libgen.li.pdf","medicine\anesthesiology"
"Barash","barash.pdf","medicine\anesthesiology"
"Miller","Miller&_039_s Anesthesia, 2-Volume Set, 10e (Sep 18, 2024)_(0323935923)_(Elsevier)(2024, Elsevier){105474848} libgen.li.pdf","medicine\anesthesiology"
"ROSEN","Robert Hockberger,Ron M. Walls,Susan Wilcox, - ROSEN's Emergency medicine Concepts and clinical practice both volumes TENTH edition (2023, Elsevier) - libgen.li.pdf","medicine\emergency"
"Tintinalli&_039_s Emergency Medicine Examination","Tintinalli&_039_s Emergency Medicine Examination and Board Review{Susan B. Promes}(2024, McGraw Hill){107323889} libgen.li.pdf","medicine\emergency"
"Tintinalli's Emergency Medicine Manual","NOT_FOUND","medicine\emergency"
"Irwin and Rippe","Richard S Irwin_ Craig M. Lilly MD - Irwin and Rippe's Intensive Care Medicine (2023, LWW) - libgen.li.pdf","medicine\intensive_care"
"Textbook of Critical Care","Textbook of Critical Care,{Jean-Louis Vincent, Frederick A. Moore, Frederick A. Moore, MD, MCCM, Rinaldo Bellomo, John J. Ma}...(Feb 27, 2023, Elsevier){114168868} libgen.li.pdf","medicine\intensive_care"
"Oh's Intensive Care Manual","NOT_FOUND","medicine\intensive_care"
